transect_id,x1,y1,x2,y2
290,16161180.0000003,-4591506.126126126,16162379.9999997,-4591506.126126126
291,16161180.0000003,-4591556.216216216,16162379.9999997,-4591556.216216216
292,16161826.306306306,-4592159.9999997,16161826.306306306,-4590960.0000003
293,16161240.0000003,-4591596.396396397,16162439.9999997,-4591596.396396397
294,16161866.486486487,-4592219.9999997,16161866.486486487,-4591020.0000003
295,16161916.576576577,-4592219.9999997,16161916.576576577,-4591020.0000003
296,16161966.666666666,-4592219.9999997,16161966.666666666,-4591020.0000003
297,16162016.756756756,-4592219.9999997,16162016.756756756,-4591020.0000003
298,16162066.846846847,-4592219.9999997,16162066.846846847,-4591020.0000003
299,16162086.936936937,-4592249.9999997,16162086.936936937,-4591050.0000003
300,16162137.027027028,-4592249.9999997,16162137.027027028,-4591050.0000003
301,16162187.117117116,-4592249.9999997,16162187.117117116,-4591050.0000003
302,16162237.207207207,-4592249.9999997,16162237.207207207,-4591050.0000003
303,16162859.9999997,-4591622.702702703,16161660.0000003,-4591622.702702703
304,16162277.387387387,-4592189.9999997,16162277.387387387,-4590990.0000003
305,16162919.9999997,-4591582.522522522,16161720.0000003,-4591582.522522522
306,16162919.9999997,-4591532.432432433,16161720.0000003,-4591532.432432433
307,16161750.0000003,-4591547.657657658,16162949.9999997,-4591547.657657658
308,16162357.747747747,-4592189.9999997,16162357.747747747,-4590990.0000003
309,16162407.837837838,-4592189.9999997,16162407.837837838,-4590990.0000003
310,16162427.927927928,-4592219.9999997,16162427.927927928,-4591020.0000003
311,16162448.018018018,-4592249.9999997,16162448.018018018,-4591050.0000003
312,16161870.0000003,-4591678.108108108,16163069.9999997,-4591678.108108108
313,16161870.0000003,-4591728.198198198,16163069.9999997,-4591728.198198198
314,16162478.288288288,-4592369.9999997,16162478.288288288,-4591170.0000003
315,16163099.9999997,-4591741.621621622,16161900.0000003,-4591741.621621622
316,16162518.468468469,-4592309.9999997,16162518.468468469,-4591110.0000003
317,16162568.558558559,-4592309.9999997,16162568.558558559,-4591110.0000003
318,16162618.64864865,-4592309.9999997,16162618.64864865,-4591110.0000003
319,16162638.738738738,-4592339.9999997,16162638.738738738,-4591140.0000003
320,16162688.828828828,-4592339.9999997,16162688.828828828,-4591140.0000003
321,16162738.918918919,-4592339.9999997,16162738.918918919,-4591140.0000003
322,16162759.00900901,-4592309.9999997,16162759.00900901,-4591110.0000003
323,16163369.9999997,-4591670.900900901,16162170.0000003,-4591670.900900901
324,16163369.9999997,-4591620.810810811,16162170.0000003,-4591620.810810811
325,16163369.9999997,-4591570.7207207205,16162170.0000003,-4591570.7207207205
326,16163369.9999997,-4591520.630630631,16162170.0000003,-4591520.630630631
327,16163344.972656112,-4591642.023613392,16162195.027343888,-4591299.057467689
328,16162819.54954955,-4592069.9999997,16162819.54954955,-4590870.0000003
329,16163429.9999997,-4591430.360360361,16162230.0000003,-4591430.360360361
330,16163429.9999997,-4591380.27027027,16162230.0000003,-4591380.27027027
331,16163429.9999997,-4591330.18018018,16162230.0000003,-4591330.18018018
332,16163429.9999997,-4591280.09009009,16162230.0000003,-4591280.09009009
333,16163429.9999997,-4591230.0,16162230.0000003,-4591230.0
334,16163429.9999997,-4591179.90990991,16162230.0000003,-4591179.90990991
335,16163459.9999997,-4591159.81981982,16162260.0000003,-4591159.81981982
336,16163459.9999997,-4591109.72972973,16162260.0000003,-4591109.72972973
337,16163459.9999997,-4591059.639639639,16162260.0000003,-4591059.639639639
338,16163459.9999997,-4591009.54954955,16162260.0000003,-4591009.54954955
339,16163459.9999997,-4590959.459459459,16162260.0000003,-4590959.459459459
340,16163459.9999997,-4590909.369369369,16162260.0000003,-4590909.369369369
341,16162849.279279279,-4590270.0000003,16162849.279279279,-4591469.9999997
342,16163396.751895353,-4590806.841975963,16162203.248104647,-4590931.5364024155
343,16163399.9999997,-4590819.099099099,16162200.0000003,-4590819.099099099
344,16162759.00900901,-4590210.0000003,16162759.00900901,-4591409.9999997
345,16162708.918918919,-4590210.0000003,16162708.918918919,-4591409.9999997
346,16162658.828828828,-4590210.0000003,16162658.828828828,-4591409.9999997
347,16162608.738738738,-4590210.0000003,16162608.738738738,-4591409.9999997
348,16163159.9999997,-4590808.6486486485,16161960.0000003,-4590808.6486486485
349,16162538.558558559,-4590180.0000003,16162538.558558559,-4591379.9999997
350,16162488.468468469,-4590180.0000003,16162488.468468469,-4591379.9999997
351,16162438.378378378,-4590180.0000003,16162438.378378378,-4591379.9999997
352,16162388.288288288,-4590180.0000003,16162388.288288288,-4591379.9999997
353,16162949.9999997,-4590768.198198198,16161750.0000003,-4590768.198198198
354,16162318.108108109,-4590150.0000003,16162318.108108109,-4591349.9999997
355,16162889.9999997,-4590728.018018018,16161690.0000003,-4590728.018018018
356,16162302.072072072,-4591289.9999997,16162302.072072072,-4590090.0000003
357,16162949.9999997,-4590687.837837838,16161750.0000003,-4590687.837837838
